Date_inv;Troncons_ID;Passage_num;Distance ;Vitesse;Technique;Heure_debut;Heure_fin;Temp_air;Couv_nuage;Vent;Obs;Initiales;Nom_fichier;Commentaires;;Passage_num = pour le drone seulement, ID du passage faunique prévue de 1 à 4 ;;;;;;;;;;;;;
03/06/2025;39;1;2;60;GoPro;07:42;07:44;;;;0;;;;;;;;;;;;;;;;;;
03/06/2025;41;1;1;60;GoPro;09:39;09:40;;;;0;;;;;;;;;;;;;;;;;;
03/06/2025;42;1;1;60;GoPro;09:37;09:38;;;;0;;;;;;;;;;;;;;;;;;
09/06/2025;1;1;1;1,3;Pied;07:26;08:15;;;;1;;;;;;;;;;;;;;;;;;
09/06/2025;1;1;2;60;GoPro;06:17;06:29;;;;0;;;;;;;;;;;;;;;;;;
09/06/2025;28;1;1;1,3;Pied;06:35;07:18;;;;2;;;Chat domestique et oiseau non identifiée (taille de merle);;;;;;;;;;;;;;;
09/06/2025;28;1;2;60;GoPro;06:08;06:10;20;50;;1;;;Au milieu de la route, probablement non visible sur la GoPro, mammifère taille raton laveur;;;;;;;;;;;;;;;
09/06/2025;62;1;1;3;Pied;08:22;08:45;;;;0;;;;;;;;;;;;;;;;;;
09/06/2025;62;1;2;60;GoPro;06:21;06:25;;;;0;;;;;;;;;;;;;;;;;;
10/06/2025;52;1;2;60;GoPro;07:35;07:39;;;;0;;;;;;;;;;;;;;;;;;
10/06/2025;52;1;1;1,3;Pied;06:20;07:00;;;;0;;;;;;;;;;;;;;;;;;
10/06/2025;53;1;2;60;GoPro;07:26;07:30;;;;0;;;;;;;;;;;;;;;;;;
10/06/2025;53;1;1;1,3;Pied;05:20;06:06;16;100;;0;;;;;;;;;;;;;;;;;;
16/06/2025;20;1;0,5;7,2;Drone;06:15;07:00;11;0;13;;;DJI_202506160649_006_T-20;2 passages, repositionnement;;;;;;;;;;;;;;;
16/06/2025;20;1;2;60;GoPro;05:53;06:08;;;;1;;;;;;;;;;;;;;;;;;
