"tr","Espece","Classe","Etat","Voie","Date","Heure","cat"
"T14",NA,"Mammifères","Ecrase","Accotement","21/07/2025","07:47:12",0
"T49",NA,"Reptiles","Morceaux",NA,"28/07/2025","08:47:44",2
"T49","Thamnophis sirtalis","Reptiles",NA,"Droite","28/07/2025","07:53:46",2
"T49",NA,"Indéterminés","Seche",NA,"28/07/2025","08:23:22",2
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:16:22",1
"T35","Procyon lotor","Mammifères","Morceaux",NA,"30/07/2025","07:18:34",1
"T35",NA,"Anoures",NA,"Accotement","30/07/2025","07:23:34",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:25:37",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:27:58",1
"T35",NA,"Anoures",NA,"Accotement","30/07/2025","07:41:41",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:42:45",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:44:09",1
"T35","Cardinalis cardinalis","Oiseaux","Ecrase","Accotement","30/07/2025","07:45:35",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:47:36",1
"T35",NA,"Indéterminés",NA,"Accotement","30/07/2025","07:56:29",1
"T35","Sciurus carolinensis","Mammifères","Morceaux","Accotement","30/07/2025","07:59:06",1
"T35","Sciurus carolinensis","Mammifères",NA,"Accotement","30/07/2025","08:01:07",1
"T35","Storeria occipitomaculata","Reptiles",NA,"Accotement","30/07/2025","08:04:23",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:30:12",1
"T35",NA,"Mammifères",NA,"Gazon","30/07/2025","07:31:08",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","07:32:25",1
"T35",NA,"Anoures",NA,"Milieu","30/07/2025","07:39:56",1
"T35",NA,"Mammifères",NA,"Droite","30/07/2025","07:02:33",1
"T35",NA,"Oiseaux",NA,NA,"30/07/2025","07:05:25",1
"T35",NA,"Anoures","Ecrase","Droite","30/07/2025","07:08:43",1
"T35",NA,"Anoures","Ecrase","Droite","30/07/2025","07:10:26",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","07:12:08",1
"T35",NA,"Oiseaux",NA,"Gravier","30/07/2025","08:28:01",1
"T35",NA,"Indéterminés",NA,"Droite","30/07/2025","08:34:53",1
"T35",NA,"Anoures","Ecrase","Droite","30/07/2025","08:34:02",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:35:54",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:36:29",1
"T35","Storeria occipitomaculata","Reptiles","Seche","Accotement","30/07/2025","08:06:57",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","08:09:41",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:12:09",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:13:39",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:15:28",1
"T35",NA,"Anoures","Ecrase","Droite","30/07/2025","08:17:36",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:19:08",1
"T35",NA,"Reptiles","Seche","Gravier","30/07/2025","08:23:54",1
"T35","Lithobates pipiens","Anoures",NA,"Accotement","30/07/2025","08:42:28",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:37:15",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:38:52",1
"T35",NA,"Anoures","Ecrase","Accotement","30/07/2025","08:39:42",1
"T35",NA,"Anoures","Ecrase","Droite","30/07/2025","08:45:53",1
"T36",NA,"Indéterminés",NA,NA,"30/07/2025","06:05:48",2
"T36","Lithobates pipiens","Anoures",NA,"Stationnement","30/07/2025","05:40:54",2
"T36","Sciurus carolinensis","Mammifères",NA,"Droite","30/07/2025","05:50:13",2
"T36",NA,"Anoures","Ecrase","Milieu","30/07/2025","05:56:00",2
"T36",NA,"Reptiles","Morceaux","Accotement","30/07/2025","06:15:57",2
"T36",NA,"Anoures","Ecrase","Droite","30/07/2025","06:03:45",2
"T52","Procyon lotor","Mammifères",NA,"Droite","04/08/2025","",2
"T52","Procyon lotor","Mammifères",NA,"Sortie","04/08/2025","",2
"T52",NA,"Mammifères",NA,"Accotement","04/08/2025","",2
"T52",NA,"Mammifères","Ecrase","Accotement","04/08/2025","",2
"T52","Mephitis mephitis","Mammifères",NA,"Accotement","04/08/2025","",2
"T52",NA,"Oiseaux",NA,"Accotement","04/08/2025","",2
"T30","Thamnophis sirtalis","Reptiles",NA,"Stationnement","11/08/2025","08:01:11",0
"T30",NA,"Oiseaux",NA,"Accotement","11/08/2025","08:42:12",0
"T30",NA,"Oiseaux",NA,"Gauche","11/08/2025","08:48:10",0
"T31",NA,"Mammifères",NA,"Gauche","11/08/2025","07:24:38",1
"T31",NA,"Oiseaux",NA,"Accotement","11/08/2025","06:43:43",1
"T31",NA,"Oiseaux",NA,"Accotement","11/08/2025","06:53:16",1
"T31",NA,"Oiseaux",NA,"Gauche","11/08/2025","07:15:26",1
"T31",NA,"Oiseaux",NA,"Accotement","11/08/2025","06:42:43",1
"T31",NA,"Oiseaux",NA,"Route","11/08/2025","06:45:52",1
"T03",NA,"Oiseaux",NA,"Accotement","12/08/2025","06:54:11",0
