"tr_glob","date","tr","sens","km","speed","method","tr_id","hm1","hm2","min","cat"
"T40",2025-07-28,"T40_E",NA,0.5,7.2,"D","20250728_T40_E_D",2025-07-28 07:21:00,2025-07-28 07:25:00,4,2
"T40",2025-07-15,"T40_O","O",1,60,"G","20250715_T40_O_G",2025-07-15 05:27:00,2025-07-15 05:28:00,1,2
"T41",2025-07-02,"T41_O","O",1,60,"G","20250702_T41_O_G",2025-07-02 07:14:00,2025-07-02 07:15:00,1,2
"T41",2025-06-03,"T41_O","O",1,60,"G","20250603_T41_O_G",2025-06-03 09:39:00,2025-06-03 09:40:00,1,2
"T41",2025-07-18,"T41_O","O",0.9,0.7,"P","20250718_T41_O_P",2025-07-18 05:46:00,2025-07-18 07:10:00,84,2
"T41",2025-07-02,"T41_O",NA,0.5,7.2,"D","20250702_T41_O_D",2025-07-02 07:34:00,2025-07-02 07:45:00,11,2
"T41",2025-07-18,"T41_E","E",1,60,"G","20250718_T41_E_G",2025-07-18 05:21:00,2025-07-18 05:22:00,1,2
"T41",2025-07-18,"T41_O","O",1,60,"G","20250718_T41_O_G",2025-07-18 05:35:00,2025-07-18 05:36:00,1,2
"T41",2025-07-02,"T41_E","E",1,60,"G","20250702_T41_E_G",2025-07-02 07:59:00,2025-07-02 08:00:00,1,2
"T42",2025-07-02,"T42_O",NA,0.5,7.2,"D","20250702_T42_O_D",2025-07-02 06:24:00,2025-07-02 06:28:00,4,2
"T42",2025-07-02,"T42_O","O",1,60,"G","20250702_T42_O_G",2025-07-02 07:12:00,2025-07-02 07:13:00,1,2
"T42",2025-07-18,"T42_E","E",1,60,"G","20250718_T42_E_G",2025-07-18 05:23:00,2025-07-18 05:24:00,1,2
"T42",2025-07-02,"T42_E","E",1,60,"G","20250702_T42_E_G",2025-07-02 07:00:00,2025-07-02 07:01:00,1,2
"T42",2025-07-18,"T42_O","O",1,0.7,"P","20250718_T42_O_P",2025-07-18 07:28:00,2025-07-18 09:00:00,92,2
"T42",2025-07-18,"T42_O","O",1,60,"G","20250718_T42_O_G",2025-07-18 05:33:00,2025-07-18 05:34:00,1,2
"T42",2025-06-03,"T42_O","O",1,60,"G","20250603_T42_O_G",2025-06-03 09:37:00,2025-06-03 09:38:00,1,2
"T45",2025-07-14,"T45_N","N",1,60,"G","20250714_T45_N_G",2025-07-14 10:41:00,2025-07-14 10:42:00,1,2
"T45",2025-08-13,"T45_N","N",0.9,1.1,"P","20250813_T45_N_P",2025-08-13 09:16:00,2025-08-13 10:12:00,56,2
"T45",2025-07-14,"T45_S","S",1,60,"G","20250714_T45_S_G",2025-07-14 10:38:00,2025-07-14 10:39:00,1,2
"T45",2025-07-14,"T45_N","N",0.9,0.7,"P","20250714_T45_N_P",2025-07-14 09:35:00,2025-07-14 10:28:00,53,2
"T45",2025-08-13,"T45_N","N",1,75,"G","20250813_T45_N_G",2025-08-13 09:05:00,2025-08-13 09:06:00,1,2
