waypoint,site,sens_obs,rang_id,classe,ordre,famille,genre,espece,etat,emplacement,taille,date,heure,revu,mortalite,commentaires
MORT-LIPI,T35,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement_gauche,petit,2025-07-30,08:09:41,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement_gauche,petit,2025-07-30,08:12:09,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement_gauche,petit,2025-07-30,08:13:39,0,1,Couleuvre
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement_gauche,petit,2025-07-30,08:15:28,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-07-30,08:17:36,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement_gauche,petit,2025-07-30,08:19:08,0,1,
MORT-COUL,T35,O,famille,reptilia,squamata,natricidae,,NA,seche,gravier_gauche,petit,2025-07-30,08:23:54,0,1,
MORT-SOUR,T35,O,ordre,mammalia,rodentia,NA,NA,NA,NA,droite,petit,2025-07-30,07:02:33,0,1,Souris
MORT-OISE,T35,O,classe,aves,NA,NA,NA,NA,NA,NA,petit,2025-07-30,07:05:25,0,1,Poussin
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,droite,petit,2025-07-30,07:08:43,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,droite,petit,2025-07-30,07:10:26,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,07:12:08,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,07:16:22,0,1,
MORT-RATO,T35,O,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,morceaux,NA,moyen,2025-07-30,07:18:34,0,1,
MORT-GREN,T35,O,classe,amphibia,anura,NA,NA,NA,NA,accotement,petit,2025-07-30,07:23:34,0,1,
MORT-LIPI,T35,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement,petit,2025-07-30,07:25:37,0,1,
MORT-LIPI,T35,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement,petit,2025-07-30,07:27:58,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,07:30:12,0,1,
MORCEAU,T35,O,classe,mammalia,NA,NA,NA,NA,NA,gazon,petit,2025-07-30,07:31:08,0,1,Patte de mammifère. p-ê écureuil. Compté dans mortalité.
MORT-LIPI,T35,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement,petit,2025-07-30,07:32:25,0,1,
MORT-OISE,T35,O,classe,aves,NA,NA,NA,NA,NA,gravier,petit,2025-07-30,08:28:01,0,1,
SQUE,T35,O,embranchement,NA,NA,NA,NA,NA,NA,droite,petit,2025-07-30,08:34:53,0,1,Squelette partiel
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,droite,petit,2025-07-30,08:34:02,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,08:35:54,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,08:36:29,0,1,
MORT-LIPI,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,08:37:15,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,08:38:52,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,accotement,petit,2025-07-30,08:39:42,0,1,
MORT-LIPI,T35,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,accotement,petit,2025-07-30,08:42:28,0,1,
MORT-GREN,T35,O,ordre,amphibia,anura,NA,NA,NA,ecrase,droite,petit,2025-07-30,08:45:53,0,1,
MORT-ÉCUR,T36,O,espece,mammalia,rodentia,sciuridae,sciurus,sciurus_carolinensis,NA,droite,moyen,2025-07-30,05:50:13,0,1,
MORT-GREN,T36,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gauche,petit,2025-07-30,05:56:00,0,1,
MORT,T36,O,embranchement,NA,NA,NA,NA,NA,NA,NA,petit,2025-07-30,06:05:48,0,1,Petite taille
MORT-GREN,T36,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,gauche,petit,2025-07-30,05:40:54,0,1,dans le stationnement de l'église. sur une bouche d'égout
MORT-LIPI,T36,O,ordre,amphibia,anura,NA,NA,NA,ecrase,gravier,petit,2025-07-30,06:03:45,0,1,
MORT-TORT,T36,O,ordre,reptilia,testudines,NA,NA,NA,morceaux,accotement,petit,2025-07-30,06:15:57,0,1,Tortue. morceaux éparpillés accotement/gravier/gazon.
MORT-COUL,T39_O,O,espece,reptilia,squamata,natricidae,thamnophis,thamnophis_sirtalis,ecrase,accotement,petit,2025-07-21,06:21:58,0,1,
MORT-MICROMAMM-T41,T41_O,O,classe,mammalia,NA,NA,NA,NA,ecrase,accotement,petit,2025-07-18,06:06:26,0,1,Micromammifère. poil gris
MORT-MAMM,T42_O,O,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,decompose,droite,moyen,2025-07-18,07:45:12,0,1,
MORT-TORT,T42_O,O,espece,reptilia,testudines,emydidae,chrysemys,chrysemys_picta,morceaux,accotement,petit,2025-07-18,07:38:40,0,1,
morceaux,T42_O,O,classe,mammalia,NA,NA,NA,NA,morceaux,accotement,NA,2025-07-18,07:52:21,0,1,Compté comme une mortalité avec la patte.
MORT-TORT,T42_O,O,ordre,reptilia,testudines,NA,NA,NA,NA,accotement,petit,2025-07-18,07:56:44,0,1,Tortue. Serpentine? à identifier.
morceaux,T42_O,O,classe,mammalia,NA,NA,NA,NA,morceaux,NA,petit,2025-07-18,07:58:05,0,1,Patte de mammifère
MORT-GREN,T42_O,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-18,08:23:34,0,1,Stationnement de la pesée de camion. près de la sortie
morceaux,T42_O,O,classe,mammalia,NA,NA,NA,NA,morceaux,accotement,petit,2025-07-18,08:37:30,0,0,Patte de mammifère. compté comme une mortalité avec le morceau précédent
MORT-MAMM,T45_N,N,classe,mammalia,NA,NA,NA,NA,NA,NA,moyen,2025-07-14,09:46:58,0,1,
MORT-OISE,T45_N,N,classe,aves,NA,NA,NA,NA,ecrase,NA,NA,2025-07-14,09:50:37,0,1,
MORT-GREN,T45_N,N,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,10:01:21,0,1,
MORT-GREN,T45_N,N,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,10:03:20,0,1,
MORT-GREN,T45_N,N,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,10:04:51,0,1,
MORT-MAMM,T45_N,N,classe,mammalia,NA,NA,NA,NA,ecrase,NA,moyen,2025-07-14,10:10:17,0,1,Compté dans les mortalités. mais non noté dans le carnet.
MORT-MAMM,T45_N,N,classe,mammalia,NA,NA,NA,NA,NA,NA,moyen,2025-08-13,09:39:11,0,1,
MORT-GREN,T45_N,N,classe,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-08-13,09:56:29,0,1,
MORCEAU,T45_N,N,classe,NA,NA,NA,NA,NA,NA,NA,petit,2025-08-13,09:57:42,0,1,Os de colonne + autre petit os. Compté comme mortalité.
MORT-RATO,T45_N,N,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,NA,moyen,2025-08-13,10:03:17,0,1,
MORT-MARM,T45_N,N,espece,mammalia,rodentia,sciuridae,marmota,marmota_monax,ecrase,NA,moyen,2025-08-13,10:04:48,0,1,
MORT-MARM,T45_N,N,espece,mammalia,rodentia,sciuridae,marmota,marmota_monax,ecrase,NA,moyen,2025-08-13,10:05:53,0,1,
MORCEAU,T45_N,N,classe,mammalia,NA,NA,NA,NA,morceaux,accotement,petit,2025-08-13,10:07:52,0,1,Patte de mammifère. Compté comme une mortalité avec l'autre patte.
MORCEAU,T45_N,N,classe,mammalia,NA,NA,NA,NA,morceaux,accotement,petit,2025-08-13,10:10:16,0,0,Patte de mammifère. Compté comme une mortalité avec l'autre patte.
?-T48,T48_E,E,embranchement,NA,NA,NA,NA,NA,NA,NA,NA,2025-07-17,09:04:21,0,1,
MORT-RONGEUR-T48,T48_E,E,classe,mammalia,NA,NA,NA,NA,NA,NA,petit,2025-07-17,09:15:01,0,1,Micromammifère. de type souris
MORT-MICROMAMM-T48,T48_E,E,classe,mammalia,NA,NA,NA,NA,NA,NA,petit,2025-07-17,09:19:05,0,1,Micromammifère
MORT-THSI-T49,T49,E,espece,reptilia,squamata,natricidae,thamnophis,thamnophis_sirtalis,NA,droite,petit,2025-07-28,07:53:46,0,1,
MORT-HERP,T49,E,embranchement,NA,NA,NA,NA,NA,seche,NA,petit,2025-07-28,08:23:22,0,1,Herpétofaune
MORCEAU,T49,E,embranchement,NA,NA,NA,NA,NA,morceaux,NA,petit,2025-07-28,08:34:28,0,0,Os plat. peut-être appartenant à une des tortues.
MORCEAU,T49,E,embranchement,NA,NA,NA,NA,NA,morceaux,NA,petit,2025-07-28,08:41:19,0,0,Petit os non identifié. Peut-être appartenant à une des tortues.
MORCEAUX,T49,E,ordre,reptilia,testudines,NA,NA,NA,morceaux,NA,petit,2025-07-28,08:43:58,0,1,Tortue. En morceaux. Ambigu s'il s'agit de deux ou un individu.
MORCEAUX,T49,E,ordre,reptilia,testudines,NA,NA,NA,morceaux,gravier_gauche,petit,2025-07-28,08:47:44,0,1,Tortue.Plusieurs morceaux éparpillés ont été retrouvés (plusieurs points GPS à cette date appelés « morceaux »).  Ambigu s'il s'agit de deux ou un individu.
MORT-RATON,T52_E,O,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,droite,moyen,2025-08-04,07:54:55,0,1,Carcasse dans la direction opposée
MORT-MAMM,T52_E,O,espece,mammalia,carnivora,procyonidae,procyon,procyon_lotor,NA,accotement,moyen,2025-08-04,08:15:56,0,1,Carcasse dans la direction opposée
MORT-MAMM,T52_O,O,classe,mammalia,NA,NA,NA,NA,ecrase,droite,moyen,2025-08-04,08:06:41,0,1,dans la sortie d'autoroute
MORT-MAMM,T52_O,O,famille,mammalia,carnivora,mustelidae,NA,NA,ecrase,accotement,moyen,2025-08-04,08:26:32,0,1,
MORT-MOUF,T52_O,O,espece,mammalia,carnivora,mephitidae,mephitis,mephitis_mephitis,recent,accotement,moyen,2025-08-04,08:46:22,0,1,
MORT-OISE,T52_O,O,ordre,aves,passeriformes,NA,NA,NA,recent,accotement,petit,2025-08-04,08:47:21,0,1,Jaune; chardonneret ou paruline.
MORT-LICL,T59,O,espece,amphibia,anura,ranidae,lithobates,lithobates_clamitans,NA,NA,petit,2025-07-14,06:06:30,0,1,
MORT-GREN,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:09:46,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:12:16,0,1,
Mlipi,T59,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,NA,petit,2025-07-14,06:12:39,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:14:18,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:16:19,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:17:39,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:19:18,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:21:12,0,1,
Moise,T59,O,classe,aves,NA,NA,NA,NA,NA,NA,petit,2025-07-14,06:22:27,0,1,
Mserp,T59,O,espece,reptilia,testudines,chelydridae,chelydra,chelydra_serpentina,NA,gravier,petit,2025-07-14,06:24:15,0,1,Juvenile ou jeune. de petite taille
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:28:36,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:30:08,0,1,
Mg57,T59,O,ordre,amphibia,anura,NA,NA,NA,NA,NA,petit,2025-07-14,06:31:27,0,1,
Mlipi,T59,O,espece,amphibia,anura,ranidae,lithobates,lithobates_pipiens,NA,NA,petit,2025-07-14,06:32:25,0,1,
